Subject,Language,Domain,Metric
0,c,lang,1.0
1,c,db,2.0
2,c,db,1.0
3,c,backend,1.0
4,c,lang,1.0
5,c,backend,2.0
6,c,lang,2.0
7,c,ml,1.0
8,c,lang,1.5
9,c,backend,1.0
10,c,game,1.0
11,c,lang,1.0
12,c,ml,1.0
13,c,ml,2.0
14,c,db,2.0
15,c,lang,1.0
16,c,game,1.0
17,c,backend,2.0
18,c,db,1.0
19,c,backend,3.0
20,c,db,1.0
21,c,lang,1.0
22,c,lang,1.0
23,c,game,1.0
24,c,db,1.0
25,c,backend,1.0
26,c,lang,1.0
27,c,lang,1.0
28,c,ml,1.0
29,c,backend,2.0
30,c,backend,1.0
31,c,backend,1.0
32,c,db,2.0
33,c,game,1.0
34,c,db,1.0
35,c,backend,1.0
36,c,backend,1.0
37,c,db,1.0
38,c,backend,2.0
39,c,backend,1.0
40,c,db,2.0
41,c,ml,1.0
42,c,ml,1.0
43,c,backend,1.0
44,c,lang,2.0
45,c,backend,1.0
46,c,db,2.0
47,c,backend,1.0
48,c,db,2.0
49,c,lang,2.0
50,c,ml,2.5
51,c,backend,1.0
52,c,lang,1.0
53,c,lang,2.0
54,c,backend,1.0
55,c,lang,1.0
56,c,db,2.0
57,c,game,1.0
58,c,backend,1.0
59,c,backend,1.0
60,c,backend,2.0
61,c,backend,1.0
62,c,db,2.0
63,c,backend,1.0
64,c,db,1.0
65,c,lang,1.0
66,c,backend,2.0
67,c,lang,1.0
68,c,lang,1.0
69,c,lang,2.0
70,c,backend,1.0
71,c,backend,1.0
72,c,db,1.0
73,c,backend,1.0
74,c,lang,1.0
75,c,db,2.0
76,c,backend,1.0
77,c,backend,1.0
78,c,db,1.0
79,c,backend,1.0
80,c,backend,1.0
81,c,db,2.0
82,c,game,1.0
83,c,lang,1.0
84,c,backend,2.0
85,c,game,1.0
86,c,lang,2.0
87,c,lang,1.5
88,c,backend,1.0
89,c,backend,1.0
90,c,backend,1.0
91,c,game,1.0
92,c,backend,1.0
93,c,backend,3.0
94,c,backend,1.0
95,c,lang,1.5
96,c,db,1.0
97,c,backend,1.0
98,c,db,1.0
99,c,comp,1.0
100,c,backend,1.0
101,c,lang,1.5
102,c,lang,2.0
103,c,game,1.5
104,c,backend,2.0
105,c,backend,1.0
106,c,backend,2.0
107,c,backend,1.0
108,c,game,1.0
109,c,backend,1.0
110,c,ml,3.0
111,c,ml,2.0
112,c,backend,2.0
113,c,game,1.0
114,c,game,1.0
115,c,lang,2.0
116,c,backend,2.0
117,c,db,2.0
118,c,game,1.0
119,c,db,2.0
120,c,db,1.0
121,c,backend,1.0
122,c,db,1.0
123,c,db,2.0
124,c,db,2.0
125,c,ml,1.0
126,c,game,1.0
127,c,db,2.0
128,c,ml,2.0
129,c,lang,1.5
130,c,comp,2.0
131,c,db,2.0
132,c,db,1.5
133,c,backend,4.0
134,c,lang,2.0
135,c,backend,1.0
136,c,ml,1.0
137,c,lang,1.0
138,c,backend,1.0
139,c,backend,1.0
140,c,backend,1.0
141,c,ml,2.5
142,c,backend,2.0
143,c,lang,2.0
144,c,game,1.0
145,c,ml,4.0
146,c,backend,1.0
147,c,game,1.0
148,c,game,1.5
149,c,db,2.0
150,c,backend,4.0
151,c,ml,2.0
152,c,game,1.0
153,c,backend,1.0
154,c,backend,1.0
155,c,game,1.0
156,c,db,2.0
157,c,lang,1.0
158,c,ml,2.0
159,c,db,1.0
160,c,lang,2.0
161,c,ml,1.0
162,c,db,2.0
163,c,backend,1.0
164,c,backend,1.0
165,c,ml,2.0
166,c,db,1.0
167,c,backend,1.0
168,c,backend,2.0
169,c,backend,2.0
170,c,db,1.0
171,c,db,1.0
172,c,backend,1.0
173,c,backend,1.0
174,c,backend,2.0
175,c,db,2.0
176,c,db,1.0
177,c,backend,1.0
178,c,game,1.0
179,c,backend,1.0
180,c,backend,1.0
181,c,game,2.0
182,c,game,1.0
183,c,backend,2.0
184,c,lang,1.0
185,c,backend,1.0
186,c,db,2.0
187,c,backend,1.0
188,c,db,2.0
189,c,backend,1.5
190,c,backend,1.0
191,c,game,1.0
192,c,db,2.0
193,c,backend,1.0
194,c,game,1.0
195,c,backend,1.0
196,c,backend,1.0
197,c,db,1.0
198,c,ml,1.0
199,c,db,2.0
200,c,db,2.0
201,c,lang,1.0
202,c,db,1.0
203,c,ml,2.0
204,c,backend,2.0
205,c,game,1.0
206,c,backend,1.0
207,c,ml,3.0
208,c,backend,1.0
209,c,lang,1.0
210,c,db,2.0
211,c,backend,2.0
212,c,backend,1.0
213,c,lang,2.0
214,c,backend,1.0
215,c,game,1.0
216,c,db,2.0
217,c,backend,1.0
218,c,game,1.0
219,c,db,1.0
220,c,backend,1.0
221,c,db,3.0
222,c,db,2.0
223,c,db,2.0
224,c,backend,2.0
225,c,lang,1.0
226,c,lang,1.5
227,c,db,1.0
228,c,db,2.0
229,c,backend,1.0
230,c,db,1.0
231,c,backend,1.0
232,c,db,1.0
233,c,game,1.0
234,c,lang,1.0
235,c,game,1.0
236,c,backend,1.0
237,c,db,2.0
238,c,lang,2.0
239,c,backend,1.0
240,c,backend,2.0
241,c,lang,1.0
242,c,backend,2.0
243,c,db,1.0
244,c,lang,1.0
245,c,backend,3.0
246,c,ml,2.0
247,c,db,2.0
248,c,backend,2.0
249,c,backend,2.0
250,c,lang,1.0
251,c,lang,1.0
252,c,db,1.0
253,c,game,1.0
254,c,game,1.0
255,c,db,1.0
256,c,backend,2.0
257,c,game,1.0
258,c,backend,1.0
259,c,ml,1.0
260,c,db,1.0
261,c,ml,1.0
262,c,backend,1.0
263,c,game,1.0
264,c,ml,2.0
265,c,db,2.0
266,c,backend,1.0
267,c,backend,1.0
268,c,game,2.0
269,c,backend,1.0
270,c,ml,2.0
271,c,db,1.0
272,c,backend,2.0
273,c,ml,3.0
274,c,game,1.0
275,c,game,2.0
276,c,ml,2.0
277,c,backend,1.0
278,c,lang,2.0
279,c,ml,1.0
280,c,db,2.0
281,c,game,2.0
282,c,db,2.0
283,c,lang,2.0
284,c,lang,1.0
285,c,backend,1.0
286,c,lang,1.0
287,c,backend,1.0
288,c,db,2.0
289,c,lang,2.0
290,c,db,1.0
291,c,game,1.0
292,c,ml,5.0
293,c,db,2.0
294,c,db,1.0
295,c,lang,1.0
296,c,backend,1.0
297,c,lang,2.0
298,c,lang,2.0
299,c,ml,3.0
300,c,lang,1.0
301,c,ml,2.0
302,c,lang,2.0
303,c,lang,1.0
304,c,backend,1.0
305,c,backend,2.0
306,c,db,2.0
307,c,comp,1.0
308,c,backend,1.0
309,c,backend,3.0
310,c,game,2.0
311,c,game,3.0
312,c,backend,1.0
313,c,backend,1.0
314,c,db,2.0
315,c,lang,2.0
316,c,ml,1.0
317,c,ml,1.5
318,c,lang,1.0
319,c,ml,2.5
320,c,lang,2.0
321,c,db,2.0
322,c,game,2.0
323,c,game,1.0
324,c,game,1.0
325,c,ml,1.0
326,c,backend,2.0
327,c,db,2.0
328,c,game,1.0
329,c,db,1.0
330,c,ml,3.0
331,c,backend,1.0
332,c,backend,1.0
333,c,lang,2.0
334,c,backend,1.0
335,c,backend,1.0
336,c,db,2.0
337,c,backend,2.0
338,c,db,1.0
339,c,game,1.0
340,c,db,1.0
341,c,backend,1.0
342,c,lang,2.0
343,c,backend,1.0
344,c,game,2.0
345,c,backend,2.5
346,c,game,3.0
347,c,backend,2.0
348,c,ml,3.0
349,c,backend,2.0
350,c,backend,1.0
351,c,backend,2.0
352,c,backend,1.0
353,c,db,2.0
354,c,backend,2.0
355,c,db,1.0
356,c,ml,1.0
357,c,lang,1.0
358,c,backend,1.0
359,c,db,2.5
360,c,db,1.0
361,c,backend,2.0
362,c,game,1.0
363,c,game,3.0
364,c,backend,3.0
365,c,lang,2.0
366,c,lang,1.0
367,c,lang,2.0
368,c,lang,2.0
369,c,backend,2.5
370,c,db,2.0
371,c,backend,2.0
372,c,game,1.0
373,c,db,2.0
374,c,db,1.0
375,c,backend,1.0
376,c,db,1.0
377,c,backend,2.0
378,c,backend,1.0
379,c,backend,1.0
380,c,lang,1.0
381,c,game,1.0
382,c,backend,1.0
383,c,backend,2.0
384,c,lang,1.0
385,c,game,1.0
386,c,comp,2.0
387,c,db,2.0
388,c,lang,2.0
389,c,backend,1.0
390,c,backend,1.0
391,c,lang,2.0
392,c,ml,3.0
393,c,db,1.0
394,c,backend,1.0
395,c,lang,1.0
396,c,backend,2.0
397,c,ml,1.0
398,c,game,1.0
399,c,lang,2.0
400,c,backend,1.0
401,c,lang,1.0
402,c,lang,2.0
403,c,lang,2.0
404,c,backend,2.0
405,c,db,2.0
406,c,ml,1.0
407,c,db,2.0
408,c,backend,1.0
409,c,game,1.0
410,c,db,2.0
411,c,backend,1.5
412,c,game,1.0
413,c,lang,1.0
414,c,lang,1.0
415,c,lang,2.0
416,c,db,1.0
417,c,lang,1.0
418,c,lang,2.0
419,c,backend,2.0
420,c,backend,2.0
421,c,backend,1.0
422,c,backend,1.0
423,c,backend,1.0
424,c,backend,1.0
425,c,backend,1.0
426,c,ml,1.0
427,c,db,1.5
428,c,backend,2.0
429,c,backend,1.0
430,c,db,2.0
431,c,lang,1.0
432,c,lang,2.0
433,c,db,1.0
434,c,ml,1.0
435,c,lang,2.0
436,c,backend,1.0
437,c,ml,1.0
438,c,game,1.0
439,c,ml,1.0
440,c,db,3.0
441,c,game,1.0
442,c,lang,2.0
443,c,db,4.0
444,c,lang,1.0
445,c,db,1.0
446,c,lang,2.0
447,c,lang,3.0
448,c,backend,1.0
449,c,backend,1.0
450,c,game,1.0
451,c,db,2.0
452,c,lang,2.0
453,c,ml,2.0
454,c,backend,1.0
455,c,lang,2.0
456,c,ml,1.0
457,c,backend,1.0
458,c,db,2.0
459,c,backend,1.0
460,c,db,2.0
461,c,backend,1.0
462,c,backend,2.0
463,c,backend,1.0
464,c,db,1.0
465,c,backend,1.0
466,c,ml,1.0
467,c,lang,1.0
468,c,backend,1.0
469,c,db,2.0
470,c,backend,2.0
471,c,db,1.0
472,c,backend,2.0
473,c,db,2.0
474,c,lang,1.0
475,c,ml,2.0
476,c,lang,1.0
477,c,backend,2.0
478,c,db,2.0
479,c,backend,1.0
480,c,db,1.0
481,c,lang,1.0
482,c,db,3.0
483,c,lang,2.0
484,c,backend,1.0
485,c,backend,2.0
486,c,db,2.0
487,c,lang,2.0
488,c,backend,1.0
489,c,lang,2.0
490,c,db,1.0
491,c,game,1.0
492,c,backend,2.0
493,c,ml,1.0
494,c,lang,1.0
495,c,db,2.0
496,c,lang,1.0
497,c,db,3.0
498,c,backend,1.0
499,c,db,1.0
500,c,lang,2.0
501,c,db,2.5
502,c,backend,1.0
503,c,backend,1.0
504,c,backend,2.0
505,c,lang,1.0
506,c,backend,1.0
507,c,backend,3.0
508,c,lang,1.0
509,c,lang,1.5
510,c,backend,2.0
511,c,ml,1.0
512,c,backend,1.0
513,c,lang,2.0
514,c,backend,1.0
515,c,game,1.0
516,c,backend,1.0
517,c,backend,2.0
518,c,backend,2.0
519,c,ml,1.0
520,c,game,1.0
521,c,game,1.0
522,c,db,1.0
523,c,lang,1.0
524,c,backend,1.0
525,c,lang,2.0
526,c,backend,2.0
527,c,lang,1.0
528,c,db,1.0
529,c,game,1.0
530,c,game,1.0
531,c,ml,1.0
532,c,backend,2.0
533,c,backend,1.0
534,c,backend,1.0
535,c,ml,1.0
536,c,db,1.0
537,c,db,1.0
538,c,lang,1.0
539,c,db,2.0
540,c,backend,1.0
541,c,db,3.0
542,c,backend,4.5
543,c,backend,2.0
544,c,backend,2.0
545,c,db,3.0
546,c,backend,1.0
547,c,backend,1.0
548,c,game,1.0
549,c,backend,1.0
550,c,lang,1.0
551,c,db,2.0
552,c,backend,4.0
553,c,game,1.0
554,c,game,1.0
555,c,db,1.5
556,c,backend,3.0
557,c,backend,1.0
558,c,db,2.0
559,c,ml,3.0
560,c,game,1.0
561,c,backend,1.0
562,c,db,2.0
563,c,lang,1.0
564,c,backend,1.0
565,c,lang,1.0
566,c,db,1.0
567,c,backend,1.0
568,c,game,1.5
569,c,db,1.0
570,c,frontend,1.0
571,c,db,2.0
572,c,backend,1.0
573,c,db,2.0
574,c,backend,1.0
575,c,ml,2.5
576,c,lang,2.0
577,c,lang,2.0
578,c,ml,2.0
579,c,backend,1.0
580,c,lang,2.0
581,c,backend,2.0
582,c,lang,1.0
583,c,ml,3.0
584,c,db,1.0
585,c,ml,1.0
586,c,backend,2.0
587,c,db,2.0
588,c,db,3.0
589,c,backend,1.0
590,c,game,2.5
591,c,ml,1.0
592,c,db,2.0
593,c,lang,1.0
594,c,backend,1.0
595,c,lang,1.0
596,c,game,1.0
597,c,backend,1.0
598,c,ml,3.0
599,c,db,1.0
600,c,db,2.0
601,c,backend,2.0
602,c,backend,2.0
603,c,backend,1.0
604,c,game,2.0
605,c,db,1.0
606,c,db,1.0
607,c,db,1.0
608,c,ml,1.0
609,c,backend,1.0
610,c,backend,2.0
611,c,backend,1.0
612,c,game,1.0
613,c,backend,1.0
614,c,db,1.0
615,c,db,2.0
616,c,db,1.0
617,c,lang,1.0
618,c,backend,1.0
619,c,lang,1.0
620,c,ml,2.0
621,c,lang,1.0
622,c,backend,4.0
623,c,backend,1.0
624,c,backend,1.0
625,c,lang,1.0
626,c,ml,1.5
627,c,backend,1.0
628,c,backend,1.0
629,c,backend,1.0
630,c,backend,1.0
631,c,game,1.0
632,c,db,1.0
633,c,game,1.0
634,c,lang,2.0
635,c,ml,1.0
636,c,backend,1.0
637,c,db,1.0
638,c,game,1.0
639,c,lang,2.0
640,c,ml,1.0
641,c,game,3.0
642,c,lang,1.0
643,c,game,2.0
644,c,backend,2.0
645,c,lang,1.0
646,c,backend,1.0
647,c,lang,1.0
648,c,backend,1.0
649,c,backend,1.0
650,c,db,2.0
651,c,backend,1.0
652,c,lang,2.0
653,c,db,2.0
654,c,db,1.0
655,c,backend,1.0
656,c,db,1.0
657,c,db,1.0
658,c,db,1.0
659,c,lang,2.0
660,c,backend,1.0
661,c,lang,1.0
662,c,ml,2.0
663,c,backend,1.0
664,c,db,2.0
665,c,backend,1.0
666,c,backend,2.0
667,c,lang,1.0
668,c,game,1.0
669,c,ml,1.0
670,c,backend,1.0
671,c,backend,2.0
672,c,lang,1.0
673,c,backend,1.5
674,c,backend,1.0
675,c,comp,1.5
676,c,lang,3.0
677,c,lang,2.0
678,c,backend,1.0
679,c,backend,2.0
680,c,backend,2.0
681,c,lang,1.5
682,c,ml,1.5
683,c,game,3.0
684,c,backend,2.0
685,c,backend,3.0
686,c,lang,2.0
687,c,db,1.5
688,c,backend,1.0
689,c,backend,1.0
690,c,backend,1.0
691,c,backend,1.0
692,c,backend,1.0
693,c,backend,1.0
694,c,backend,2.0
695,c,game,1.5
696,c,db,1.0
697,c,db,1.0
698,c,lang,1.0
699,c,db,2.0
700,c,backend,1.0
701,c,lang,2.0
702,c,backend,2.0
703,c,backend,1.0
704,c,game,1.0
705,c,db,2.0
706,c,backend,1.0
707,c,lang,1.0
708,c,db,2.0
709,c,lang,1.0
710,c,backend,2.0
711,c,ml,1.0
712,c,backend,1.0
713,c,ml,1.0
714,c,backend,1.0
715,c,db,1.0
716,c,db,1.0
717,c,lang,2.0
718,c,db,3.0
719,c,lang,1.0
720,c,backend,2.0
721,c,db,1.0
722,c,lang,2.0
723,c,db,1.0
724,c,backend,1.0
725,c,game,1.0
726,c,game,1.0
727,c,lang,1.0
728,c,comp,1.0
729,c,game,3.0
730,c,db,1.0
731,c,backend,2.0
732,c,ml,2.0
733,c,db,1.0
734,c,backend,1.0
735,c,backend,1.0
736,c,backend,1.0
737,c,backend,1.0
738,c,db,2.0
739,c,backend,1.0
740,c,lang,1.0
741,c,lang,1.0
742,c,backend,1.0
743,c,db,2.0
744,c,ml,1.5
745,c,backend,1.0
746,c,ml,1.0
747,c,game,1.0
748,c,lang,1.0
749,c,ml,1.0
750,c,backend,2.0
751,c,lang,1.0
752,c,backend,2.0
753,c,backend,1.0
754,c,lang,1.0
755,c,game,1.0
756,c,lang,2.0
757,c,backend,2.0
758,c,db,1.0
759,c,backend,2.0
760,c,backend,1.0
761,c,backend,1.0
762,c,backend,1.0
763,c,backend,1.0
764,c,lang,1.0
765,c,backend,1.0
766,c,db,1.0
767,c,ml,1.0
768,c,db,2.0
769,c,backend,1.0
770,c,backend,1.0
771,c,backend,1.0
772,c,lang,1.0
773,c,lang,2.0
774,c,ml,1.0
775,c,backend,1.0
776,c,db,2.0
777,c,db,1.0
778,c,lang,1.0
779,c,backend,2.0
780,c,db,2.0
781,c,backend,1.0
782,c,ml,2.0
783,c,backend,1.0
784,c,ml,2.0
785,c,backend,1.0
786,c,backend,1.0
787,c,backend,1.0
788,c,db,2.0
789,c,backend,1.0
790,c,db,1.0
791,c,game,2.0
792,c,game,1.5
793,c,backend,1.5
794,c,backend,1.0
795,c,lang,2.0
796,c,lang,1.0
797,c,lang,2.0
798,c,backend,1.0
799,c,lang,1.0
800,c,ml,1.0
801,c,backend,2.0
802,c,backend,1.0
803,c,backend,1.0
804,c,backend,1.0
805,c,backend,1.0
806,c,game,1.0
807,c,backend,1.0
808,c,game,1.0
809,c,backend,2.0
810,c,backend,1.0
811,c,lang,2.0
812,c,lang,2.0
813,c,backend,1.0
814,c,backend,1.0
